contract_id,word_count,num_segments
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT,5558,25
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,3596,16
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement,11394,49
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,2500,12
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT",5761,26
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,11330,51
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,2044,9
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement,2236,10
SPORTHALEYINC_09_29_1997-EX-10.2-10-ENDORSEMENT AGREEMENT,1537,7
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement,3784,19
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT",4904,21
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT,1796,8
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT,5757,24
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement,6272,28
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT,2452,12
MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT,2355,11
BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT,9771,46
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",2766,12
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,18806,84
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement,5066,22
NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT,18265,85
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,2588,11
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement,1468,6
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement",2694,12
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement,3908,19
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,3770,17
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,2925,13
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement,1656,8
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,24801,110
